"";"Var.1";"Answer.surveycode";"WorkerId";"survey_virgin";"session";"screen_attention_check_error";"screen_positive";"ip_country";"screen_difftime";"screen_difftime_too_short";"approve";"feedback";"source";"HITId";"HITTypeId";"Title";"Description";"Keywords";"Reward";"CreationTime";"MaxAssignments";"RequesterAnnotation";"AssignmentDurationInSeconds";"AutoApprovalDelayInSeconds";"Expiration";"NumberOfSimilarHITs";"LifetimeInSeconds";"AssignmentId";"AssignmentStatus";"AcceptTime";"SubmitTime";"AutoApprovalTime";"ApprovalTime";"RejectionTime";"RequesterFeedback";"WorkTimeInSeconds";"LifetimeApprovalRate";"Last30DaysApprovalRate";"Last7DaysApprovalRate";"Answer.doNotRedirect";"Approve";"Reject"
"1170";54;"BUMskOT9";"A3L0DCUXI7X3A9";"failed";"BUMskOT9w0VsXfVju6upqY_xgF6dn5CAy40FHGvCOMiGf9p14ScIt1pVH_oEcijY";"passed";"failed";"US";177;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1171";55;"BvF-9ims";"A3E3RCR51Z8EVP";"failed";"BvF-9imssod54wJq6O9PI3zMkFHjcd_mYOeiTSRRm47VGg6C-7on4swPudTwGdW4";"passed";"failed";"US";50;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1172";56;"BwleQ46m";"A1QXCUL98HP53";"failed";"BwleQ46mpUry93Hy7g1SzcPMjxNcgumZe-wkwcLgbj3g4NqFajcuE0mn8ER3c6Gn";"passed";"passed";"US";70;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1173";57;"c9_yPm6X";"A2Q1BS4JJ10J8H";"failed";"c9_yPm6XiUia-rxtShIPDf8qCJYLYsRJRbfw6D5NBA3_dtyy6xCAamBzn_QfSoq0";"passed";"failed";"US";268;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1174";58;"ceZtRtW7";"AQNX2JGQQ73HB";"failed";"ceZtRtW7V4rYqln71RUIdkIQYa0VSR4NQwTx4aynGYuI-adr1mmgq-hl8x5nxbco";"passed";"failed";"US";544;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1175";59;"CHg_cG-w";"A1MYUN6R1PUXBL";"failed";"CHg_cG-wWEztPvfaBaD6AloIjTLW5f7dXrzX_rR8_Qm4_R5172lcqJ_6ux3zy-3O";"passed";"passed";"US";104;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1176";60;"ckr72MZA";"A5Q0UTSKAI2TQ";"failed";"ckr72MZAKJpre_yDUlwRERtPFpgLa8f1_LptKIV0uZrZgT_hjlJC02zGIXJhWzin";"passed";"failed";"US";76;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1177";61;"CLnxfGsf";"A1JX05C35GWMGP";"failed";"CLnxfGsfmX5MiwiVwtLksvVIcR2GleLZ6X6iZd6VSQlPxMzjWOgU7kok1yyxtZfT";"passed";"passed";"US";119;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1178";62;"crltH26S";"A57H2XF3Z70KY";"failed";"crltH26Sclm290fSX7Mectc2PHmWiC4fCiOumMlPxNBCkGx_R8YQwaYRz_7iGmru";"failed";"failed";"US";143;"passed";"REJECT";"You have failed the attention check, therefore I cannot approve your HIT.";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1179";63;"CTmk55xO";"A3KGF1IKXVBWW8";"failed";"CTmk55xOmUWWUSpyiGzFdTjZ_J_qypc--NlHR1fkPhDOD8_asmtnRNZ2C8dn5inx";"passed";"failed";"US";62;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1180";64;"CxynLStz";"A2EUXA84IMO859";"failed";"CxynLStzAHzOvlOcjmnOdD6FQbMSyCC1_QW7AaMiVz7hT_JX-N6yZ9YhQphxOOyu";"passed";"failed";"US";82;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1181";65;"d6LuejfC";"A1R2UQYVMQQQY2";"failed";"d6LuejfCh6ugjAnfABqs4_d6tpyTPimkwU_ULD0aWEusYNoTbBOCYPg76SiqJUce";"passed";"failed";"US";75;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1182";66;"Dcej-Zs2";"AL41DJZ0UD8GO";"passed";"Dcej-Zs2_JgeLuX_bkJ4v2wjDyL4--7bBD8ylMVsiSFZgayErryHHknj1f_SGCll";"passed";"failed";"US";61;"passed";"x";"";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1183";67;"DGoJ8pFi";"A1160COTUR26JZ";"failed";"DGoJ8pFi9EliUm77acohqhPPgnqD8IRLHkKJBuB_a_lssWX-_ozq2Ps7HTGxXF1z";"passed";"failed";"US";53;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1184";68;"djNYTYab";"A3IWND8SOMMJF5";"failed";"djNYTYabBOiSQMypkL_xOwpEoHso8CZJkDYeytLXecb4sWT4bwcSp40578JN1G_G";"passed";"passed";"US";43;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1185";69;"dmk9_pNu";"A12IHTKQFQIPD1";"failed";"dmk9_pNuzRVNG9iI7UIrqWDx3ocFFr86nKN_UMvpWOqhZAZvghTwnnjF2dGQfJBO";"passed";"failed";"US";94;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1186";70;"dml06W81";"AD6FEEQSW8PRE";"passed";"dml06W81Fw7aSwCpX5pxxd9DNHq8W802Qe5ksYmzG-z-hEC_s3Oh3RvrSFMKfmoI";"passed";"passed";"US";83;"passed";"x";"";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1187";71;"dpoiRBpT";"A2ELW44B0V3AYF";"failed";"dpoiRBpT1hHSN3Xb16z3eWklaX_m4yapiuus2iewmtOwvyGlC1AWHLrbE0ReITtm";"passed";"failed";"US";67;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1188";72;"DSFxdwAy";"AKNI5BKXWGCDU";"failed";"DSFxdwAywfJX448162bBky_GUiHdzJ0vR9ifmIgHS4xzm7D13zfducBiztefrs1M";"passed";"passed";"US";110;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1189";73;"dUq8DlJQ";"A2XQ3CFB5HT2ZQ";"failed";"dUq8DlJQRNxdS5jy6eAQp3h5-Rqt7gFdp1FRVQmNWmUxEbJ5sVBfzu2QNCmMwRHx";"passed";"failed";"US";61;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1190";74;"E7AH38MI";"A1VC6F0FYG1L5I";"failed";"E7AH38MIUaWEjp3R9Jp6UIOwzDMxk_g_MTd1eGQt3Bo_Wy5EH8A5r9jwguAtyh4J";"passed";"failed";"US";76;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1191";75;"Eb1KnkzH";"A1NDM9R54FJMPW";"failed";"Eb1KnkzHiJ1ql1Surhw5tRyki_Iv-b2YLPPgTtZcn7dsDRaRkB65zynC5jQGcTUV";"passed";"failed";"US";71;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1192";76;"eEodPlNF";"A2DVV59R1CQU6T";"failed";"eEodPlNFXx2m0rPfkbRxjEBBOWZxdtTc6AqNjhSJL0j2kR6-iCdbEILMsLZS1636";"passed";"failed";"US";62;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1193";77;"eI-B2fV8";"A3JAOT764X4HYB";"passed";"eI-B2fV8XaWDNA8AYlCje3NdOvTA1j9LUooAWV899yLNx4CJdyx-_LlffmRvCzsR";"passed";"failed";"US";92;"passed";"x";"";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1194";78;"ejBqqygZ";"A1A1FB3IFEHJ5W";"failed";"ejBqqygZ04Ac38-MdlZloVqZYm4iSP9woeP-KMw7rOesSHaFW_0cYJeWSoCQIsBt";"failed";"failed";"US";76;"passed";"REJECT";"You have failed the attention check, therefore I cannot approve your HIT.";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1195";79;"eLHFjmBr";"A7T06JMP6BTDS";"failed";"eLHFjmBr4MLHfEIHVhzjAFS75AOWuPPeey3OfUFh8zX2ewt-1r6t4ps5yznL0h90";"passed";"failed";"US";131;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1196";80;"ePKkjoMN";"A18O3DEA5Z4MJD";"failed";"ePKkjoMNgorbLBidmmzuCDUM3pZUzFqqo22apZctngGBcNPv3dVHe56_q4xjCHGq";"passed";"failed";"US";89;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1197";81;"fJipKi0x";"A3KNO82DZ519HG";"failed";"fJipKi0xybn4FfNrrmnORBF5CXXBbjQzLvwJe4VJaSwhJ-mPtkHFl887kPTl0h64";"passed";"failed";"US";63;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1198";82;"fK7y_3cM";"AG2S21EJEXCZ9";"failed";"fK7y_3cM3sTW0JSiQEiysngwUTD2RwszNA0yNSFw2nuUw4BZqjovzCkuaZX4Ki7l";"passed";"failed";"US";91;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1199";83;"fo0tVneA";"A10CQS8GH2W418";"failed";"fo0tVneAepkJl4zrXy-qGEqXjPzNr4N5Bunw278Q9AKOnE11Me87EVcYt7iKWfi_";"failed";"failed";"US";91;"passed";"REJECT";"You have failed the attention check, therefore I cannot approve your HIT.";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1200";84;"fO3HjdoJ";"AD1ILDUXZHASF";"passed";"fO3HjdoJaFlcfp7W_nuffWS-y2VXVUWUre6WI_HTCbCOI69nocHTZFMaWK6CZwxB";"passed";"failed";"US";41;"passed";"x";"";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1201";85;"FRqlxNnJ";"A3A4UFCFF9DMW3";"failed";"FRqlxNnJmlz3eLmymfbuuGzmaF8dmkjnbfXZciFep4O_3-d829adi7d3QXQ6JdNZ";"failed";"failed";"US";191;"passed";"REJECT";"You have failed the attention check, therefore I cannot approve your HIT.";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1202";86;"fvs-ZnZj";"A2AMBJ0RTXFLPC";"failed";"fvs-ZnZjOnIabjUceRly-kO86DXaLft-YB4PRWd2YDhMU9OZHrtpbWrNs5hX0FKm";"passed";"failed";"US";75;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1203";87;"G4E-dQL5";"AP43EYS9D1Z9E";"failed";"G4E-dQL56B5xCis3Sp3rrq7_Mb6bgsufovtzKKyFwfr2n69Kyz25hQY9Bxj6IQda";"passed";"failed";"US";86;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1204";88;"G7uZJt0x";"A2YYZFDLYZEAXA";"failed";"G7uZJt0xg8FYXsRiEeosBUS07z1-B2XHcm6ovSaHX93u5g8eRvZwvAw2BJYojnwO";"passed";"passed";"US";84;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1205";89;"g8sachB5";"A1BQTDDVCHQM5T";"failed";"g8sachB5LgSTUWYB-K6VOl5ZHHwEGSAZThoiivT8lQmwx5krEFMMEb6TzivaL07Z";"passed";"failed";"US";133;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1206";90;"GawnuFf-";"ABZ1LM3J8REE6";"failed";"GawnuFf-8gd-hPstaq3G5pspiE6ydA4k21VbIuNNpw5vGF3q7mnYtUqoD1YHXIL4";"passed";"passed";"US";60;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1207";91;"gg40_pC1";"A3EWCWQBNJF0QV";"failed";"gg40_pC1ty8s_p9p1R-s1YLBxV_V_KK6TnvM585c4Obvs_qgcSHUttzRjIm_P_2i";"passed";"failed";"US";83;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1208";92;"gHmxC9g1";"A101FL4EE96WBJ";"failed";"gHmxC9g1dxx2isCio5YQ1dHq1Fk2SZEO5hWXyUXQQRBCZWPTvsNcDpkS-P-O9dTt";"passed";"failed";"US";155;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1209";93;"gkP1Lt_2";"ABEJPX8HRQFAW";"failed";"gkP1Lt_23BGD6wpPgS0-exN1J6xB6P4U1dYCftUzkHOI_0eT0FXn4cPsCdcR6d7F";"passed";"failed";"US";79;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1210";94;"GlnLsPKy";"A2E746SZEOVYXS";"failed";"GlnLsPKyQiVHsX5SzL868xUD7qCDi9v494IaImr-M4ZR0DoHEvI5fPHUcAtebvCp";"passed";"failed";"US";58;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1211";95;"gMdcbQv1";"AV7A20KYBTQHL";"failed";"gMdcbQv17buD74BbPVQcaVx4hz8YyZ-uZPbamXRBw0DCkx0qqURXNmEeV7uoH9Pv";"passed";"failed";"US";63;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1212";96;"gnkL920n";"AYXUD1M6PC1O4";"failed";"gnkL920n1jGHjqJ1c4d2Il_sK2m0RwVE6YvfBDkS_z4J7K12lMsfZFnz3ooz3Ts6";"passed";"failed";"US";30;"failed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1213";97;"GnVS0j-K";"A1UYQL6D2BXCP0";"failed";"GnVS0j-KCmYrpBmtwon0rONIbQN9MMW6tWXEVzN9dLU2KWrcWgTo1IW-O_THVT1t";"passed";"passed";"US";126;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1214";98;"GRAUD-Im";"A13JQTLPWXZD6L";"failed";"GRAUD-Im0MhjSzh3k4COsbYpILq3q5a5HDrqWAkSHf8edvvmGpXz9ZswVzPMQGOz";"passed";"failed";"US";172;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1215";99;"gRKkp2LO";"A3OK98UH49BNXG";"failed";"gRKkp2LO7Ia3dZ_g0IglwwKAopWFEUD0wZa1SQh7zwHK4HHwDfQDXaWOeH0Bi5y-";"passed";"passed";"US";72;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1216";100;"GUrTqyVU";"A14FW5M5I4SZBY";"failed";"GUrTqyVUaheDJ0FpXHvx5p6sxJFjWvWsKCCQsZOwmq3xjbszRW6b8bp7Qo1hPCok";"passed";"failed";"US";104;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1217";101;"H3EsTxOB";"AB66N91SH201Q";"failed";"H3EsTxOB8Opf0GF61-DwiArHdAD3kKHOe820ICOfTuzVEWLWjM2g3LJS0SQkg6r4";"passed";"passed";"US";51;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk7b_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
