"";"Var.1";"Answer.surveycode";"WorkerId";"survey_virgin";"session";"screen_attention_check_error";"screen_positive";"ip_country";"screen_difftime";"screen_difftime_too_short";"approve";"feedback";"source"
"15";15;"Qr8IcVOH";"A2NITHCE81FACY";"failed";"Qr8IcVOHCGwX2IB2lOLTWvgDcEBzFJ3f4IoDEvLN4e0VzTK2au3StJ71nYcNgKmJ";"failed";"failed";"US";93;"passed";"REJECT";"You have failed the attention check, therefore I cannot approve your HIT.";"mturk1_check"
"16";16;"uJVhRfMm";"A1IA6EB932WA4P";"failed";"uJVhRfMmSd_eLJ8nN_7ZFMTc2ZUSBpjIlcrKr3EFEKWqG9WoKKnargPBkwH_jkwp";"failed";"failed";"US";62;"passed";"REJECT";"You have failed the attention check, therefore I cannot approve your HIT.";"mturk1_check"
"17";17;"xleNVTzm";"A1TEVZP5DA1XYZ";"failed";"xleNVTzm0NlBj82uGWpcJeePBRhbltcYpjQNgIDh1RJJ4DPzFMi8xosvgEfxL3dJ";"passed";"failed";"US";49;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check"
"18";18;"YV5mMqpm";"ANYB94DHDJKNO";"failed";"YV5mMqpmaXNav3LAsm6N4gl-ZqtSLgRF7iPplifLxLzkG3aRBesZ6gVdE1Rz3-EF";"passed";"failed";"US";55;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check"
"19";19;"ZFII4MoT";"A18LPAFMK1B06K";"failed";"ZFII4MoThM7iAyaEXiXR5ZFCuLRQrnJEB1aZDz_3MzhM-PvbZA_ZIXCDZFPdQuLx";"passed";"passed";"US";35;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check"
"20";1;"23u3yW55";"A30YUB0WTMKX73";"failed";"23u3yW55oDFUoL_UnQhx6f-covCZVrTyvrSJinpq19zxdxCJ9Tq-SLqm_BKxYr3r";"passed";"failed";"US";67;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"21";2;"2rtkZ-gx";"A3DM7UHHDWBK9L";"failed";"2rtkZ-gxQSCbpRguxoePmp17pKloVNOPckTQ9_9AVq110hYfkU6uwaX0ZuWoDVGx";"passed";"passed";"CO";134;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"22";3;"3KxtS5Nk";"A3UTFL5JHRQCM1";"failed";"3KxtS5NkXxgIkxcbn6Ob9cHQbAzto_tCHkEw71MRbCvegMbkWuCd_Umkwl60eheP";"passed";"failed";"US";58;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"23";4;"3xMJeVf2";"A2CF2BD4Q0ZDJN";"failed";"3xMJeVf2IoLT4Bc8bDbSISeZMJYsJApMusgS7DU1zHY0EVrADc-gdDoCG5kGLEo_";"passed";"failed";"US";52;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"24";5;"4t_vH8uw";"A3FUTSFH39MJA5";"failed";"4t_vH8uwCsuxzSu8p0uOkh-dQqsvwvVmKHb-t2kBKLE6r-p2Pw7__qNZ3DfuS5G-";"passed";"failed";"US";67;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"25";6;"8LB8WwEB";"A31WTERLIX9YJP";"failed";"8LB8WwEBOt1WwYriVUT3sF5t6lGkXAA0wAwbo9INkLo0YHiasFT89-c7aEAyePx5";"passed";"passed";"US";141;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"26";7;"9B0Sso_8";"A9ZCY6FLUCIU1";"failed";"9B0Sso_84TFv5VRng81NHB4HZ66KBG1izOkOvr02zvvYeokCL10C33APuq5rRydK";"passed";"failed";"US";46;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"27";8;"CK4Dk3XW";"ABL3H3O3BI8ZD";"failed";"CK4Dk3XWzb4osd46jlnXrmXC4fdJiwu8-TJQIUS-DBJfmmgrhTJ9DlSQchg9Q9wL";"passed";"failed";"US";50;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"28";9;"d5EqfpHg";"A3FDQJMLPJ2YVJ";"failed";"d5EqfpHgDO7iYiznROptqCU4qfxgnueroK8cBkov0mlOvlaZr9IcGVZYlyheyCsL";"passed";"failed";"US";64;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"29";10;"dd_5cZFS";"A2TQCLAV1NQW5N";"failed";"dd_5cZFSwITvDQMviqkOOHiSFyr8Q4JlHcbRrSbCFfp6fKO7ERptKpEVkTce82BI";"passed";"failed";"US";85;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"30";11;"DER0k7bO";"A1G2PW5L311IXU";"failed";"DER0k7bO3in41xQ-6GhNDMyZP3yO_NEf33mLK6-i2lUwE9UgFjqicJzqKz3z41ei";"passed";"failed";"VE";40;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"31";12;"didT8NZh";"A25CFVQND4A0EV";"failed";"didT8NZhtKhhoDYYe9BqSS875Vd63nPyyoYQc_OuuPTYVkWA9iOwlcsB81kXxZ1A";"passed";"failed";"US";46;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"32";13;"ds9-udvK";"A136GE908Q9X5O";"failed";"ds9-udvKJUp99HiuUbzgWcao5JCpEpLPCD14iNbH-3CxBPMJ9CcMnjsnrTwBa7YG";"passed";"passed";"US";74;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"33";14;"g_rGYsSb";"A39XIQCFSCNHFU";"failed";"g_rGYsSbB9jIQnG-iis1WhkLz9gTOyDJvbVIkoyxtmswqWjNFRtjDHs2N2sAiHhx";"passed";"failed";"US";51;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"34";15;"gm6Zidww";"A1NSHNH3MNFRGW";"failed";"gm6Zidww3LmSLI2H38w8jVGpPTNTbXyNSrBatIA3YAQcZncy-lSoZT44ECZDz1he";"passed";"failed";"US";94;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"35";16;"GSks3V5s";"A1ARX2B9YZ82E4";"failed";"GSks3V5sxr6qWXL_OeKJzWsSqFnwOUspT5w1uZdDcWP_bW4qBl13Q2cHeTG5KY0u";"passed";"passed";"US";72;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"36";17;"gvXOqnxU";"A89R5XGMHOTJE";"failed";"gvXOqnxUFAkJyTRhDWJDqx7QMSofmJHZQI62egv5hryBWv8F8onkOoffVedhblwb";"passed";"passed";"US";45;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"37";18;"hsQBhYyw";"A3J0IAI8AJBGKX";"failed";"hsQBhYywo-AzViJkRhl0EFXPvHo2q4scrvg3FTf5dM8K5dhBPWXVbXiCpqhZjhpD";"passed";"failed";"US";74;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"38";19;"HxS0hqxQ";"A2Y5HX38CIQVAM";"failed";"HxS0hqxQhrf_D5229BwhI3AubcE0YHJ1WKuKy9fa79D4JvIrWFlT3ssugeC-uVsR";"passed";"failed";"US";61;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"39";20;"Id7RcFmV";"A3FKC2UR61C4T7";"failed";"Id7RcFmVg_N5EYfoNzFDH4TcfXAJf-qXHp-Gd1HRnroWvAgtH8P_xa0l6QHY8O7a";"passed";"passed";"US";187;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"40";21;"ih-Be8RX";"A3L8LSM7V7KX3T";"failed";"ih-Be8RXAJhmqPiDGRWs6PWi_sgMk9LKa6cBc4TaQ27E-UgUADTyYxQ5GdQ8NPLt";"passed";"failed";"US";55;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"41";22;"JlYWKNf7";"A2M6TJIR21BN2W";"failed";"JlYWKNf7iuj9kN-EO47Bv0TfmVfHrA9RhNJ-Amf8KZQQhPpp2wO3abeGDqVCWV4q";"passed";"failed";"US";93;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"42";23;"Jv52DJ9J";"A1GPZ5REMDQZ0L";"failed";"Jv52DJ9JCx_vtzLIaX9fTXu18ZQSqYHiFfysT2th5H0G8uiRLqXsjtyWy_4xqeE4";"passed";"failed";"US";34;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"43";24;"JZmFv01N";"A3F51C49T9A34D";"failed";"JZmFv01Nz-jpAyiNUAcNTVY_TbcRMhC_4FOsr4wEg8gIrOimuomGbnAE2r4QnGPp";"passed";"failed";"US";65;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"44";25;"LM8iP9TF";"APGX2WZ59OWDN";"failed";"LM8iP9TFg81HRAA6VNeUztRSJD2qhLvWieYMh7iYcEJqAFt_QySW0k6H0JQN7AW_";"passed";"failed";"US";29;"failed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"45";26;"lQwgeR6E";"A1GKD3NG1NNHRP";"failed";"lQwgeR6Efr9K31igd9NxybEbIfrRN-HPIGcYLkhiLzQUDGO6aEqkxWrW6cbpvcm1";"passed";"failed";"US";72;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"46";27;"mfHDMEYW";"A2K9PB0U45O0MU";"failed";"mfHDMEYWZFY0ZdqqpluTXBwWyjxlAC2sJBi_oZZGxQB73kwYXpkKnengJ4uo5nhr";"passed";"passed";"US";47;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"47";28;"pD4tIxu6";"AS2WTWYVRW9BV";"failed";"pD4tIxu6U_Utl_EFSJIY8ujegu6M9e_HcluDffc6NkU84-OYiR13mT6Or0-UvbMl";"passed";"failed";"US";37;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"48";29;"PP-yZ7-7";"A2YUCJ28XANFOX";"failed";"PP-yZ7-7HZsfMkbHvBsRFhZ9SJPdjeeJq1aQZxuPGcRRmBXX7EBD4UyIVg4Cv0ch";"passed";"failed";"US";48;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"49";30;"ps4Z3E6M";"A1G30ARCGWFKEW";"failed";"ps4Z3E6MELLBTmQ6GB0K56cJet4YH8GTrpp1CGWvRPvRsegDCCjdPZPaXr-354S6";"failed";"failed";"HN";66;"passed";"REJECT";"You have failed the attention check, therefore I cannot approve your HIT.";"mturk2_check"
"50";31;"ran-wdIB";"A3J85WP15JFYW0";"failed";"ran-wdIBOeiezQVrKvnBQnckWHAVjqj-UCiNPKUyOyCTQZ78rvCEyeiHdnRqM_Qi";"passed";"failed";"US";28;"failed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"51";32;"RflP329U";"A1ZT30BGR3266K";"failed";"RflP329UTeRdE-2996shNM3RnPQPya577dMKQvc67F_qR6P917ObjrDRUWbCzBwo";"passed";"failed";"US";58;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"52";33;"sADcaNHg";"A1KFUXSVGSHL5Z";"failed";"sADcaNHgLgRyMY0kdZy5d7IWZqccw__1zPB-3WbWjZV3wXBeQUJ4VNJrbAJzslyb";"passed";"failed";"US";46;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"53";34;"sd2gDqSC";"A2H6K1XIK4LY7O";"failed";"sd2gDqSCUFt4tu3SFVvDRoLLKMhkY-RMLAubdmtLKRefIHOmO4_k-nQONjFSfSUd";"passed";"failed";"US";27;"failed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"54";35;"Se43M4_s";"AM8OWAW9TUVLN";"failed";"Se43M4_s8PJL4k4VLM6rX6_6EIPfRRQujS4LiYL1PJv-9nD6zgjFxsEJHfAqB30l";"passed";"failed";"US";46;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"55";36;"Sl1sUGJ6";"AIZTLQM7HHQN6";"failed";"Sl1sUGJ6uoheilDPkuE3BWtJhUaAEdMxHfluuyiNtowVY5I75uT_80cXiv94fXRc";"passed";"failed";"US";86;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"56";37;"sUP4jv3J";"A39C20H5MYEUFS";"failed";"sUP4jv3JB6n3LQmkZ1mfPkIB3NXe7sT_Qnpj1V71KCcrTyRClJB4FBscFqpftVh4";"failed";"failed";"US";58;"passed";"REJECT";"You have failed the attention check, therefore I cannot approve your HIT.";"mturk2_check"
"57";38;"SzGE2CAF";"A2IB8AR4FX5YAT";"failed";"SzGE2CAF-sDfI6ZCBti5m6LJF8zTbaLYt-pYr2gtoF-0WzYg982qDZdpVhlDM9AI";"passed";"failed";"US";115;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"58";39;"tJmaiv_z";"A1ETEW9WH37WDS";"failed";"tJmaiv_z5-ZwyvvBTk_KG2CRk1VmcpxigO5FpEdwECyKZb9iroU0DTk_ZGw22cnJ";"passed";"failed";"US";69;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"59";40;"tsK1l1VV";"A2K05RWEOSTCAJ";"failed";"tsK1l1VV1qWD2t1GuTIjFis0mAOOCWZza03sIB4U1FesP9Ug1h68lG4MW4OXPMt0";"passed";"passed";"US";31;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"60";41;"tTUnGW5t";"A1Y9VA9FKJLS5K";"failed";"tTUnGW5tnNETa5LaluJ4Lc-x3i49cOOPeDTSk3qhb-8sMPRPLQbuiTWfLIFeahNI";"passed";"failed";"MX";51;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"61";42;"tXP3LULW";"A2Z7SWO6HS5OOI";"failed";"tXP3LULWAKplmnc-OHablUuWodVSLtbzE_yLQ9d9NK0RkQ7buDDkl5TFRDxkWXCV";"passed";"passed";"US";66;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"62";43;"UVjEC1LI";"AX0QC2QANW6CF";"failed";"UVjEC1LIa-a_1-tEGF7mF-vsCrP2alTZJyMd89gv5pWsyng4IY4bcv8o3h41IRzU";"failed";"failed";"US";50;"passed";"REJECT";"You have failed the attention check, therefore I cannot approve your HIT.";"mturk2_check"
"63";44;"vcPfX-5h";"A2QITGKAUEPD56";"failed";"vcPfX-5hS-kd5hZ-34T34yhsMeAyR-P7oYSSRV7sAznELQkN9njtvRCKRTFXhBG7";"passed";"failed";"US";69;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"64";45;"W-lne1DG";"AOK9ZTWFLPLMH";"failed";"W-lne1DGzOSXJEKgto1pJjzNHT0mDM9pbD8ewvRU2m_3_8ek48REYA0696AVY0Kq";"passed";"failed";"US";75;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"65";46;"w3jEWUWk";"A3LL096CAY5WHB";"failed";"w3jEWUWkE1Lg0lEnHJJAF0trYuvr63Q48wjdEnGHv8j8t--iCS8M5v4K6EewkzWZ";"passed";"passed";"US";29;"failed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"66";47;"W41JWCAZ";"AXJ1PE87PD0KK";"failed";"W41JWCAZWnxJ9_Y4r7kv5kKCC-Mg0vPked-srrFZdnk2KP0DDPpldDjXjRWBJrx3";"passed";"failed";"US";-4;"failed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
"67";48;"yiiJSElj";"A1VF3WAZ8YS8K2";"failed";"yiiJSElj1Jh-C3GfsuXnQ4vMzOQZZh2Nss6iph9NeVg1SXeu0VxKdyKPxMguh9e-";"passed";"failed";"US";54;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check"
