session,group,time,answer_length.x,word,negate,answer,answer_length.y
QwK32C9v0teq35S2f8i4m_ML0wUVtKn5UJuBeIdw7F2JAI6rdDZ7C_1sk_g-zsWj,gr1,1,18,not,TRUE,Forrest is a very nice man that may not be very smart. Seems like a very sweet soul.,18
z3T3urLnhDtl5xkRqSWXUAkwHZ3gInKdYJULRv_Ta6hx5g6agdU8fnyEvbb0TKX3,gr1,1,29,didn't,TRUE,He is really sweet and caring. He is embracing his role as a father and didn't react with any negativity or anger that he only found out now.,29
S08kqNffeP_6NYG6P_tywnWAdKI9UA1kXs7CdQiyGPhuHCIgz1-6w-N_sNGpgjut,gr1,1,38,didn't,TRUE,"his impression was golden, he wanted to know if his son was smart. even though it was his first time meeting or even hearing that he had a son, he didnt question why she didnt tell him sooner.",38
S08kqNffeP_6NYG6P_tywnWAdKI9UA1kXs7CdQiyGPhuHCIgz1-6w-N_sNGpgjut,gr1,1,38,didn't,TRUE,"his impression was golden, he wanted to know if his son was smart. even though it was his first time meeting or even hearing that he had a son, he didnt question why she didnt tell him sooner.",38
Kp4grtMZLC8kWKHwoaKzLAYCBfeLmbrt5AlMjo9SnTNDnPRClAkfdnS9GEO5w4kF,gr1,1,12,not,TRUE,He's not very smart but he seems like a good guy.,12
wNWtv0sII0AdvJmY2Lr4y4QVhgXF6dKddBPWQ31XeBmzbO0dWr6bhBINkmnRHB7w,gr1,1,22,isn't,TRUE,"He isn't very bright but, somehow, things always seem to work out well for him no matter how foolishly he behaves.",22
wNWtv0sII0AdvJmY2Lr4y4QVhgXF6dKddBPWQ31XeBmzbO0dWr6bhBINkmnRHB7w,gr1,1,22,no,TRUE,"He isn't very bright but, somehow, things always seem to work out well for him no matter how foolishly he behaves.",22
q-Q-k-qLC0OGaPiHHdFTpY0J1cpAw9RKPKuPSkBo55Dpc0PeXU_oKUsYpRhm7-h_,gr1,1,25,not,TRUE,"A very kind and gentle person. He is extremely caring and although he may not be ""smart"" he understands the world around him very well.",25
suqTQPnsc8wBXllpC2YVKWfXGgcHkCObN9CrrAduRRinJO5MD4Z5ME_1CZFNpfcv,gr1,1,37,not,TRUE,"The man in the clip is 'simple' for lack of better word, but he's super sweet. He has to process that he has a son through Jenny (something that he might not have even thought possible).",37
BLOL514tyOWTZHHcE83kGdUvkHlPRZI7wEKMcvN2rOMzu3WXAd6nTf7ukiF6uAc1,gr1,1,51,not,TRUE,"He is wearing a nice suit. He has an intellectual disability. You can hear it when he talks, and his eyes look kind of glassy. But he is a caring person. He is alarmed to find out he has a son because he is afraid his son will not be smart.",51
P60D38IN045IbM7gxp83lXWd6M1bNaO_o_1byhyB0ELQIr6iwqgT05qBbP0M6gcZ,gr1,1,43,not,TRUE,Ill educated man who has a high emotional intelligence. He is apathetic towards meeting his new son and understands the meaning of having a child. He does not get angry at the woman for hiding the pregnancy and child from him for years.,43
J4Am6IPV0Y0JyIp3SLs_yEgE8jSzFbrt0P4sFar-eOroMugVMNAbFJws1lA-Vqrv,gr1,1,8,not,TRUE,Forrest is kind hearted but not very smart.,8
W-zqllarWt0Cf-zltVwRmGIAB-ynUPrzfnlaa5IF8S1EW93-Ofi0pf46wlKX0Sgj,gr1,1,13,not,TRUE,"Not very intelligent, but genuine in his emotion. A kind, soft spoken man",13
LmgjF0ESoXmz300-L8sxuE-6tgNPQeQ9dpBBzcOjxmqjx351X5-oHb5ALQ_C6laM,gr1,1,41,doesn't,TRUE,He is caring and concerned for the wellbeing of the child he just found out he had. He doesn't seem like an angry person. He is just concerned that his son isn't like him and think he is beautiful.,41
LmgjF0ESoXmz300-L8sxuE-6tgNPQeQ9dpBBzcOjxmqjx351X5-oHb5ALQ_C6laM,gr1,1,41,isn't,TRUE,He is caring and concerned for the wellbeing of the child he just found out he had. He doesn't seem like an angry person. He is just concerned that his son isn't like him and think he is beautiful.,41
4ytzDvyUTI94WgfH-zjpSE_T_yWjAnUFabLHeR0R_mtcvN1EHMM8N8lsxDhhfSk7,gr1,1,108,no,TRUE,"The man talks to the woman and child. The child runs off in the other room and the adults talk. Discovering the truth from the woman that he's the father of the boy he's happy after reassurance from the mother. The first words from his mouth were calling him beautiful, without any hesitation or questioning his fatherhood any further. Immediately he tries to make it right for his absence in his son's life by making a simple request to hangout with him by watching T.V. He goes in with no hesitation and sits down next to his son to make up for time lost.",108
L8AUg_I1P3e5tMbllpQ8gnpKcRh7GTpSTH3y6F1faETCSUDboKcno2ItY0Z6JrNN,gr1,1,49,doesn't,TRUE,"The character is a man named Forest, a simple but complex character. He doesn't seem to be able to convey emotion well, though he does seem to feel all the emotions. He quite reminds me of my son actually. Forest seems like a very genuine and caring man.",49
4H-7dR_rDgCbqZ6A8rxBom9qh5yQqVavKNUxo3DacOTRUjNQX2-ebo6DPr1faDY1,gr1,1,62,no,TRUE,"He was very eager to meet his son who he had no clue about. At first he was scared to approach his son due to him having a Developmental Disability, but the child's mother told him that he's the smartest of his class giving the man confidence to sit with his child . Both enjoying cartoons together as father and son.",62
3ZIBhPkOFdlPTiOShaUiF3Ev-rK9JMmuHcbYckmkESaf8ovl72QjM419qwKuxsn7,gr1,1,48,not,TRUE,"He seems to be oblivious to hints given to him or a series of logical events (woman having child, child being obviously his), but this quality seems to be attributed to a mild mental disability or disorder, not of his own doing. Deep down he is good-natured.",48
vXF5itoiULkRhdPXLzsc6ddDKFMCq4ly9nOlAKnD6YAdetixHskIDAY6ZvVLMuqR,gr1,1,53,not,TRUE,"This is Forrest Gump.  He is a little slow, but he is kind.  He is a good person.  I like him a lot. He has a smart son.  His son did not turn out like him.  They are very alike, even though Forrest did not meet him until he is already in school.",53
vXF5itoiULkRhdPXLzsc6ddDKFMCq4ly9nOlAKnD6YAdetixHskIDAY6ZvVLMuqR,gr1,1,53,not,TRUE,"This is Forrest Gump.  He is a little slow, but he is kind.  He is a good person.  I like him a lot. He has a smart son.  His son did not turn out like him.  They are very alike, even though Forrest did not meet him until he is already in school.",53
RwWIGEbUOJbWc7szJQMA9T29IREa_w0RqY-lUfSIJ5t3vqkK04ccSrNgmZSm4V_b,gr1,1,56,not,TRUE,"The character of Forrest Gump is a beautiful, simple-minded person. He is the most giving and loving man. In the clip he finds out not only does he have a son, but he is very bright and smart unlike the character of adult Forrest who tends to be on the slower end of the spectrum.",56
J8z5f-A3RXCwArMYEhp5TUtgxl87_qQJ0p10E8Z2MY2K30HdD6XEfAqsA2nxIFAR,gr3,1,52,wasn't,TRUE,"He's an awful person cause he gave up on the person with down syndrome and if it wasn't for the rain starting to fall, he probably would have abandoned the person in the middle of nowhere. He came back, which is great but you never just leave someone like that.",52
gvXOqnxUFAkJyTRhDWJDqx7QMSofmJHZQI62egv5hryBWv8F8onkOoffVedhblwb,gr3,1,56,not,TRUE,"I think the character of Harry may not be the best one, but he is one that is capable of growth. In the clip he leaves someone out while he drives away but when it begins to rain he starts to feel bad and returns for him. I think that is a good characteristic to have.",56
R6cr030_oLAkJQPPA5cwuXLjS7Eu-iTP0YOXRd-D0xGT8SaTFLXx71FNNDg4JCEl,gr3,1,28,not,TRUE,Harry is a man that seems very frustrated and depressed. Harry does not come off as very caring or loving and can give the impression of being selfish.,28
MEEBxEcRbyARZUwvgR1dwWw3QwS2NeBWSUtAb8n2cxCXHtgthgdd5tPsX8-1_c7F,gr3,1,19,didn't,TRUE,i didn't like him in the being but then he went back for the boy and i cried...,19
mhvsqXhyoHeLeFiA3tv5re06zX7yS4u2lG4AnVrmqGfGhz2bHfeD_QUMTwmQwIO7,gr3,1,37,not,TRUE,"Could not understand their language, but I know that to leave a special needs child in the rain is wrong. I don't know what exactly was going on though the character seemed like a jerk initially.",37
mhvsqXhyoHeLeFiA3tv5re06zX7yS4u2lG4AnVrmqGfGhz2bHfeD_QUMTwmQwIO7,gr3,1,37,don't,TRUE,"Could not understand their language, but I know that to leave a special needs child in the rain is wrong. I don't know what exactly was going on though the character seemed like a jerk initially.",37
hljhXgdJ4JfgyIfvy350iQjAPI5iKtetCZpYsXzZogQEGgFePfk2MMbV442qrfBZ,gr3,1,69,wasn't,TRUE,"He was a grim man with a son who had downs syndrome. It seemed as though he wanted to leave his son for someone else do deal with, but guilt made him go back and pick him up. He hesitated when his son hugged him, which indicated that he wasn't sure if he wanted his son, but his joy was genuine in reacting to his son's joy.",69
twyP4oBp3dNAt1nf-uBDBwU-c_nyPu_HxTvZvVymJ1Fl8fK0f8xYeQxb9BYAUmiq,gr3,1,17,not,TRUE,Caring; compassionate; loving; Not anything like the man driving the car in the beginning of the clip.,17
RH2wgY_bvYKnl40YGCQv5U8uj4gHFdpF-ipCSeYBN9ArTB9Qa0jCBs8_YTOGwOVA,gr3,1,21,not,TRUE,I did not like him he dropped the boy off in the middle of nowhere and I hated him for it,21
fRZq-3kLgFk2CEEFxOULmRDzBhKRQWyBPw6t8RYWPFDlb33Lw0ppzqYThRG8zppF,gr3,1,51,doesn't,TRUE,"He was the kind of guy who thinks he can abandon things when he doesn't want them and then think it's okay to come back and have the other persons full affection back. He doesn't deserve the affection given to him, not when he was so cold before.",51
fRZq-3kLgFk2CEEFxOULmRDzBhKRQWyBPw6t8RYWPFDlb33Lw0ppzqYThRG8zppF,gr3,1,51,doesn't,TRUE,"He was the kind of guy who thinks he can abandon things when he doesn't want them and then think it's okay to come back and have the other persons full affection back. He doesn't deserve the affection given to him, not when he was so cold before.",51
fRZq-3kLgFk2CEEFxOULmRDzBhKRQWyBPw6t8RYWPFDlb33Lw0ppzqYThRG8zppF,gr3,1,51,not,TRUE,"He was the kind of guy who thinks he can abandon things when he doesn't want them and then think it's okay to come back and have the other persons full affection back. He doesn't deserve the affection given to him, not when he was so cold before.",51
AVuVZ3TfdnZy5OmNgz9gYkwf8k2ntomKWiC1PZ368K9kK1z_0dnq9NBCLGpmxxqs,gr3,1,65,can't,TRUE,"He's a sad man who has conflicting thoughts about his brother (or friend); I can't tell because it's in French. But anyway, he leaves this man with Down syndrome on the side of the road! It's depressing. And then it starts raining and he has guilt for leaving this man on the side of the road and returns to get him.",65
qS--vWeWyuyaVChnGuI0fuUk-5xvxLA8Xg7wbVSZIZtrCGR1CNhznurhGVhj3Yhj,gr3,1,60,didn't,TRUE,"I didn't think I would like this character. I got mad when he left the boy with Downs Syndrome on his own, but I cried when he went back for him and hugged him. I think he had a rough exterior and didn't want anyone to think he was soft but is actually very compassionate and soft-hearted.",60
qS--vWeWyuyaVChnGuI0fuUk-5xvxLA8Xg7wbVSZIZtrCGR1CNhznurhGVhj3Yhj,gr3,1,60,didn't,TRUE,"I didn't think I would like this character. I got mad when he left the boy with Downs Syndrome on his own, but I cried when he went back for him and hugged him. I think he had a rough exterior and didn't want anyone to think he was soft but is actually very compassionate and soft-hearted.",60
8EMm0orma3VNIK8dpYRLbtrBNozGT9IklRkrFpar99ZkK5YTUdQxClCck24eygp4,gr3,1,7,not,TRUE,He did not seem genuine or good.,7
QhllEswVCMlSn-pCqFqSOG-B1BSTQpfBNZKSx7Qj2vx2Ryf1ez4rM7B-fgrZ8o1l,gr3,1,58,not,TRUE,"Harry is a very mean person. He left that disabled man in the road. When it started raining, he had a change of heart and went back for him. He seemed to realize how much he cared for the other person with the disability. However, I imagine if it had not started raining, he would've continued driving.",58
a4ecVMbMpNBRgN3VMUzngVZfAWK-DhkqS1zWIWw8-OtKg8RW4lMtujFzdYeDi-RS,gr3,1,91,doesn't,TRUE,Harry seem like a person that doesn't have patience I don't know why he left the other guy out there and put him out of his car but I see that hairy felt bad for the other character when it started raining pretty hard I like the fact that he decided to go back to pick him up and he even felt comfortable enough to embrace this guy that obviously have a mental disability and I just can't understand how he could be that way to the sky,91
a4ecVMbMpNBRgN3VMUzngVZfAWK-DhkqS1zWIWw8-OtKg8RW4lMtujFzdYeDi-RS,gr3,1,91,don't,TRUE,Harry seem like a person that doesn't have patience I don't know why he left the other guy out there and put him out of his car but I see that hairy felt bad for the other character when it started raining pretty hard I like the fact that he decided to go back to pick him up and he even felt comfortable enough to embrace this guy that obviously have a mental disability and I just can't understand how he could be that way to the sky,91
a4ecVMbMpNBRgN3VMUzngVZfAWK-DhkqS1zWIWw8-OtKg8RW4lMtujFzdYeDi-RS,gr3,1,91,can't,TRUE,Harry seem like a person that doesn't have patience I don't know why he left the other guy out there and put him out of his car but I see that hairy felt bad for the other character when it started raining pretty hard I like the fact that he decided to go back to pick him up and he even felt comfortable enough to embrace this guy that obviously have a mental disability and I just can't understand how he could be that way to the sky,91
noQ9Ti8TfomxBODJEL-i7yCnRo8_SlTn3uUch3VLnOpUs-DVQqYxDHg3yEEzhbYL,gr3,1,87,not,TRUE,"I'm hoping this was the guy driving the car or I'm going to be giving a completely wrong review.  I really did not like him at first, and even at the end.  I am not fond of him because of how he kicked out his passenger and left him out in the rain with such little context, leaving him very clearly confused and hurt.  Even if he doubled back to make amends, that's a lot of damage dealt and would be hard to forgive.",87
noQ9Ti8TfomxBODJEL-i7yCnRo8_SlTn3uUch3VLnOpUs-DVQqYxDHg3yEEzhbYL,gr3,1,87,not,TRUE,"I'm hoping this was the guy driving the car or I'm going to be giving a completely wrong review.  I really did not like him at first, and even at the end.  I am not fond of him because of how he kicked out his passenger and left him out in the rain with such little context, leaving him very clearly confused and hurt.  Even if he doubled back to make amends, that's a lot of damage dealt and would be hard to forgive.",87
UXOdq11PyBJIR5pyACa8EZFvMkFXT37BbuhMYEAvH-LwoLlpn1iEjsTGBO89Ciuq,gr3,1,30,didn't,TRUE,He seems cold at first and I thought I didn't like him. Clearly he just had a moment of frustration though. In the end he seemed to find love.,30
Om2J0_AHFCsjhZ8sug0nNxvXBDfdmTiJ23gy6GQzRk_g7lDCfDey1rsXbUz9hjbR,gr3,1,53,doesn't,TRUE,"At first I thought he was a terrible person, to leave someone in the middle of nowhere. I was glad he came back for the other character and that redeemed him in my eyes. Ultimately I feel like he's a good person even if he doesn't always do the right thing.",53
OiGjOjKi_EyRkS0RzsUVEGYL7aXJyGsXoygbXDAXKCQ8ct7iglJuEy_cUn5NA5WF,gr3,1,113,not,TRUE,"Harry appears to be the father of a mentally challenged man and seemed very fed up with him. He leaves him at the side of the road at a bus stop in the middle of nowhere and drives away with the intent of abandoning him, leaving him to fend for himself. Harry eventually comes back for his son out of guilt after driving a ways away. The mentally challenged son is so happy to see him again. They hug joyfully. I think Harry is a selfish person to so easily toss aside his helpless son even if he did come back. It's not the sons fault that he was born that way.",113
gG_tuaokc-Jk5d0Su0w-Qm2tGhiQCcF_N1KH4EN9JhmogHtotcWLkzXwjSFA66ER,gr3,1,60,doesn't,TRUE,"He is a man, at least based off this clip, that seems to be unable to take care of his mentally challenged friend/brother. He attempts to leave him, with some money and a note, but he gets second thoughts and goes back as it starts to rain. He doesn't seem like a bad guy per se, just troubled",60
tk-GH6tNeJ1gxUWtEPvXzIpGmOcyh7mAd7kZfieSFEIqeMv4ZZoy4AV0k0DUBV93,gr3,1,46,not,TRUE,"I like that he ended up doing the right thing, but I'm pretty sure he almost abandoned his son which is not ok. Also, no matter what he scared and saddened a mentally challenged person so obviously he isn't too good of a person.",46
tk-GH6tNeJ1gxUWtEPvXzIpGmOcyh7mAd7kZfieSFEIqeMv4ZZoy4AV0k0DUBV93,gr3,1,46,no,TRUE,"I like that he ended up doing the right thing, but I'm pretty sure he almost abandoned his son which is not ok. Also, no matter what he scared and saddened a mentally challenged person so obviously he isn't too good of a person.",46
tk-GH6tNeJ1gxUWtEPvXzIpGmOcyh7mAd7kZfieSFEIqeMv4ZZoy4AV0k0DUBV93,gr3,1,46,isn't,TRUE,"I like that he ended up doing the right thing, but I'm pretty sure he almost abandoned his son which is not ok. Also, no matter what he scared and saddened a mentally challenged person so obviously he isn't too good of a person.",46
VcsChubicHHg_Q9NNHH2wUpne3d5tg6bepXXPqiZcaH59Nwhg6U_PMAcsWlvVPc2,gr3,1,21,no,TRUE,This guy has no heart. He leaves is brother ...which im assuming is his brother on the street because hes disabled.,21
b7yFT5Jjtn3ai2h0c9kAUyVcUFICNH5z17ClV9SYwd1qqhzgz8T0TZ1zaF7eu_8Q,gr3,1,30,don't,TRUE,I don't think he is a good person since he just left someone with a disability out on their own on the road even if they eventually go back.,30
lmCdrENQdBjmO3D4lr3uGhJHz_rGq4xJKPwY1PQ_DMIp5DLD5s4opvxUW3XTFf2e,gr3,1,83,not,TRUE,A man who lacks conviction tries to dump a handicapped man on the side of the road in the rain.  He lacks enough decency to himself for  not living with his choice to strand the man and lacks enough decency to not just stick it out with the man in the first place.  Something can be said about him changing his mind to to the compassionate option of at least backtracking on what would be called a morally bankrupt act by most people.,83
lmCdrENQdBjmO3D4lr3uGhJHz_rGq4xJKPwY1PQ_DMIp5DLD5s4opvxUW3XTFf2e,gr3,1,83,not,TRUE,A man who lacks conviction tries to dump a handicapped man on the side of the road in the rain.  He lacks enough decency to himself for  not living with his choice to strand the man and lacks enough decency to not just stick it out with the man in the first place.  Something can be said about him changing his mind to to the compassionate option of at least backtracking on what would be called a morally bankrupt act by most people.,83
pl_grwhH4HtnMwvBHTS3WljucDe00zgQc5M-5mKyPHptdY40z2OnGyhsf_j7_foT,gr3,1,54,no,TRUE,"He left his friend or brother in the middle of no where, and I'm not sure why, maybe because he had a disability and didn't want to deal with him, which was incredibly demeaning. He ended up coming to his senses and coming back for him, which somewhat made me like him.",54
pl_grwhH4HtnMwvBHTS3WljucDe00zgQc5M-5mKyPHptdY40z2OnGyhsf_j7_foT,gr3,1,54,not,TRUE,"He left his friend or brother in the middle of no where, and I'm not sure why, maybe because he had a disability and didn't want to deal with him, which was incredibly demeaning. He ended up coming to his senses and coming back for him, which somewhat made me like him.",54
pl_grwhH4HtnMwvBHTS3WljucDe00zgQc5M-5mKyPHptdY40z2OnGyhsf_j7_foT,gr3,1,54,didn't,TRUE,"He left his friend or brother in the middle of no where, and I'm not sure why, maybe because he had a disability and didn't want to deal with him, which was incredibly demeaning. He ended up coming to his senses and coming back for him, which somewhat made me like him.",54
fs2d2DxfsDzqa_HgxdlnzjeXCnLqi5hlmCEweOCwcwwfM8mqkbPuXlXmZideyIQ4,gr3,1,21,doesn't,TRUE,Dick left his disabled son in the rain. Clearly doesn't have the balls to be the man the son deserves,21
JgF5OrSpLdJSH-E56giyOCmj3hy1DPmqzrb154luwUp5QNtKpax-owPHfrSYlTEq,gr3,1,18,wasn't,TRUE,He seemed very caring and happy. (It wasn't in English so i dont know the full context),18
JgF5OrSpLdJSH-E56giyOCmj3hy1DPmqzrb154luwUp5QNtKpax-owPHfrSYlTEq,gr3,1,18,don't,TRUE,He seemed very caring and happy. (It wasn't in English so i dont know the full context),18
A4oCOHEuiXfiXAxSAbj0YUWKxENeLZOgUdoGbYvw4GXmDs8K25EJ7UMIt_2G6cEJ,gr3,1,15,didn't,TRUE,He seemed hesitant to be loving towards the disabled man which I didn't like.,15
ppeE-ItuZPziJ8ej_ril6Ae0uo8HDCRv-Fi_Bpr59gmi93P-8BXmwPiKVgAt1zoX,gr3,1,27,not,TRUE,"I think Harry is selfish and at the end of the clip, he reedemed himself a little. Not much though, as I still do not like him.",27
ppeE-ItuZPziJ8ej_ril6Ae0uo8HDCRv-Fi_Bpr59gmi93P-8BXmwPiKVgAt1zoX,gr3,1,27,not,TRUE,"I think Harry is selfish and at the end of the clip, he reedemed himself a little. Not much though, as I still do not like him.",27
HIaLMdqL4bdeh7meMqAVDTAHukWsc_sx2gDlgpGhuRPHld7rgfgRRhc1p8NNfe8d,gr3,1,20,couldn't,TRUE,I couldn't tell what was going on enough to form an impression of him one way or the other.,20
pFaFN4nLXZKBHDmgzlh7wF4Ok85Z3i4H9OOfeByt1T-iAM7zBp4KWsfX1zbSA0i_,gr3,1,31,can't,TRUE,"Well from the short clip that I saw I can't really say much about Harry, other than him being a prick for abandoning the other man regardless of his intentions.",31
RHwbqQJiTVF_LU1A_Zs8cW_rpnpWfY750nWQl58mrS02MLLihcGkYVhGalwnsfqx,gr3,1,38,wasn't,TRUE,"Harry left the man, but obviously had regret. He came back for his friend and seemed to have some remorse for leaving him. Hugging and smiling wasn't really his way, but he felt inclined during the embrace.",38
Ydv0h3RFXWKt7_AwPDwriSCQBI1vefUZyTprOcs5ownyxXudbV3mLPVnmjotuZf5,gr3,1,80,didn't,TRUE,"I didn't like it when he dropped of the man at the bus stop, with luggage and a piece of paper. Then the downpour of rain happened. The man has Down's syndrome, it just seems morally wrong to do that to someone. My feelings for him changed a little when he went back to the character, and gave him a hug. I felt like he was accepting of him, when the smile came across the character's face.",80
8VeedLqv0v9WoRG0d8EBf0SVYuY_qiZEMe3Dx1D3NT9ucavi5OtxjKM3PSxuJOL2,gr3,1,60,didn't,TRUE,"I didn't like his character.  He left his son out to catch a bus.  His son appeared to have downs syndrome and he still left him alone in the rain.  While he did go back to get his son, I still feel like his initial action to leave his son alone makes him a character I would strongly dislike.",60
fKSsz8SHcKhej-nw4HWO81eDprHephUuF6YYqWMbc3YA3s094t4om9L4eD7bBLZO,gr3,1,117,no,TRUE,"This guy Harry is a total jerk. He leaves another younger guy in the middle of nowhere. You can tell that the guy he left is a little off, like maybe slightly retardation or downs syndrome or something. Harry puts him out of the car with a small suitcase and takes off. There is literally no businesses or stores or people. It's just a 4 way crossing of a dirt road in the country. Well it starts to rain and Harry possibly feels bad and goes back to get him. The younger guy is so happy and seems forgiving but Harry to me is still a jerk for what he did. They hug each other tightly.",117
oDTFcKL_b_j9OnuTMrN0IOuBcmURsYtYOnxTTqLKUPLS13wMUml1H-ztGZc9Vipx,gr3,1,37,can't,TRUE,"He's sort of cruel and selfish, but he ultimately is human and has a conscience. He thinks about abandoning his retarded son, but can't do it, returns to him, and accepts him as he is.",37
33UTFW9DqdvKjOwLMOpc9ZLA1bZqEJ672m_oWXJfbyabUzwy58cG9M8qlQj_z8O5,gr3,1,62,didn't,TRUE,"I didn't like him at all. It seemed as if he was leaving is son and never coming back for him. His son is a guy with downs.I know it's hard, but you don't just leave him in the middle of nowhere to fend for himself. Yes, Harry came back but only because of guilt, not actual love.",62
33UTFW9DqdvKjOwLMOpc9ZLA1bZqEJ672m_oWXJfbyabUzwy58cG9M8qlQj_z8O5,gr3,1,62,don't,TRUE,"I didn't like him at all. It seemed as if he was leaving is son and never coming back for him. His son is a guy with downs.I know it's hard, but you don't just leave him in the middle of nowhere to fend for himself. Yes, Harry came back but only because of guilt, not actual love.",62
33UTFW9DqdvKjOwLMOpc9ZLA1bZqEJ672m_oWXJfbyabUzwy58cG9M8qlQj_z8O5,gr3,1,62,not,TRUE,"I didn't like him at all. It seemed as if he was leaving is son and never coming back for him. His son is a guy with downs.I know it's hard, but you don't just leave him in the middle of nowhere to fend for himself. Yes, Harry came back but only because of guilt, not actual love.",62
IKIPGZuYavY5DNWZD7B324ofeQ3KxPKLNY4PlP-eqHaM3G0wgE-dI_UXvR5wzmfz,gr3,1,117,didn't,TRUE,"i think he is the ""leader"" type.  he would rather take charge of a situation rather than let someone else make the key decisions.  i think he's a risk taker.  it was hard to know exactly what was going on as i watched, but obviously he didn't know how it would turn out. things turned out well; his risk paid off.  however, he definitely put the other man in an awkward situation.  therefore i would say that my impression of the character is that he thinks about himself more than other people but is also capable of a lot of love as evidenced by the end of the clip.  he seems like a confusing type.",117
okD5LLWrOt0MxsAGbi-MpnehNdKZhYlCc1OTSUu6lQ75KygBISv7hEOTTMWBAFjc,gr3,1,30,couldn't,TRUE,Harry was a very good character. He was conflicted about leaving his son but couldn't do it in the end. He has a heart and a soul of gold.,30
_Rim_hZKQtPe6pt1jPvxYjTRKWmG39A4MUfurNbFwa8Wsv9IzmOswEMxwnlJSBcO,gr3,1,24,not,TRUE,"I thought he was very selfish and cold-hearted person. Even though I could not understand the language, I see the resentment in him.",24
EmYrF_YXtoyDXfYyrE3F3w7SWfRRHCsR1ri9sz5LkZINLd2BXca-6x1732Dyhsn_,gr3,1,59,didn't,TRUE,"At first he was abandoning the other man on the side of the road with, but when the rain started , it seemed like he started to feel guilty and he turned around and went back to pick him up. At first I didn't like the character and when he righted his wrong, I disliked him a little less.",59
GSks3V5sxr6qWXL_OeKJzWsSqFnwOUspT5w1uZdDcWP_bW4qBl13Q2cHeTG5KY0u,gr4,1,24,couldn't,TRUE,"Couldn't get much of an impression, although it looked like he was hiding something but maybe for good reason or not, who knows.",24
GSks3V5sxr6qWXL_OeKJzWsSqFnwOUspT5w1uZdDcWP_bW4qBl13Q2cHeTG5KY0u,gr4,1,24,not,TRUE,"Couldn't get much of an impression, although it looked like he was hiding something but maybe for good reason or not, who knows.",24
